message,sender,merchant,amount,transaction_type,reference_number,date
HDFC Bank: debit of ₹4613.02 to Netflix. Ref No 801119 on 2025-01-27,HDFC Bank,Netflix,4613.02,debit,801119,2025-01-27
Kotak Mahindra Bank: debit of ₹363.00 to Paytm. Ref No 193960 on 2025-01-18,Kotak Mahindra Bank,Paytm,363.0,debit,193960,2025-01-18
SBI Bank: Credit of ₹8559.38. Transaction with Amazon. Ref: 917300,SBI,Amazon,8559.38,credit,917300,2025-01-28
Friend Bank: Credit of ₹4475.13. Transaction with Netflix. Ref: 296237,Friend,Netflix,4475.13,credit,296237,2025-01-22
Kotak Mahindra Bank: credit of ₹8939.28 to Zomato. Ref No 809181 on 2025-01-28,Kotak Mahindra Bank,Zomato,8939.28,credit,809181,2025-01-28
UPI Transaction: 1985.91 debit from Punjab National Bank to PhonePe. Ref 611769,Punjab National Bank,PhonePe,1985.91,debit,611769,2025-01-10
UPI Transaction: 4303.74 debit from Punjab National Bank to BigBasket. Ref 739652,Punjab National Bank,BigBasket,4303.74,debit,739652,2025-01-10
SBI: debit of ₹786.72 to Uber. Ref No 117395 on 2025-01-03,SBI,Uber,786.72,debit,117395,2025-01-03
SBI: A/C credit ₹1509.13 via UPI to Google Play Store. Reference 857825,SBI,Google Play Store,1509.13,credit,857825,2025-01-23
UPI Transaction: 306.15 credit from HDFC Bank to Netflix. Ref 988372,HDFC Bank,Netflix,306.15,credit,988372,2025-01-07
Punjab National Bank: A/C debit ₹1484.14 via UPI to Uber. Reference 917529,Punjab National Bank,Uber,1484.14,debit,917529,2025-01-27
Family: credit of ₹3361.02 to Ola. Ref No 791007 on 2025-01-05,Family,Ola,3361.02,credit,791007,2025-01-05
Friend: credit of ₹2638.57 to PhonePe. Ref No 506889 on 2025-01-14,Friend,PhonePe,2638.57,credit,506889,2025-01-14
Punjab National Bank: A/C debit ₹2367.75 via UPI to Amazon. Reference 285564,Punjab National Bank,Amazon,2367.75,debit,285564,2025-01-06
Friend Bank: Debit of ₹2567.54. Transaction with Netflix. Ref: 997663,Friend,Netflix,2567.54,debit,997663,2025-01-17
Personal: credit of ₹2514.42 to BookMyShow. Ref No 388527 on 2025-01-28,Personal,BookMyShow,2514.42,credit,388527,2025-01-28
Family: A/C debit ₹780.22 via UPI to Paytm. Reference 984523,Family,Paytm,780.22,debit,984523,2025-01-15
HDFC Bank: debit of ₹3839.82 to Swiggy. Ref No 138749 on 2025-01-14,HDFC Bank,Swiggy,3839.82,debit,138749,2025-01-14
Family Bank: Credit of ₹8526.56. Transaction with Uber. Ref: 934624,Family,Uber,8526.56,credit,934624,2025-01-20
Yes Bank: A/C credit ₹2838.75 via UPI to Paytm. Reference 504155,Yes Bank,Paytm,2838.75,credit,504155,2025-01-28
UPI Transaction: 516.79 debit from Family to Paytm. Ref 346524,Family,Paytm,516.79,debit,346524,2025-01-28
Friend Bank: Debit of ₹335.92. Transaction with Swiggy. Ref: 143707,Friend,Swiggy,335.92,debit,143707,2025-01-18
UPI Transaction: 3176.38 debit from Friend to Paytm. Ref 920610,Friend,Paytm,3176.38,debit,920610,2025-01-14
Family: A/C credit ₹8530.75 via UPI to Amazon. Reference 855318,Family,Amazon,8530.75,credit,855318,2025-01-20
Family: A/C debit ₹2445.64 via UPi to Google Play Store. Reference 822095,Family,Google Play Store,2445.64,debit,822095,2025-01-11
SBI: A/C debit ₹108.91 via UPI to BookMyShow. Reference 944649,SBI,BookMyShow,108.91,debit,944649,2025-01-15
UPI Transaction: 2342.75 credit from Friend to PhonePe. Ref 784834,Friend,PhonePe,2342.75,credit,784834,2025-01-02
Axis Bank: debit of ₹3800.24 to PhonePe. Ref No 524888 on 2025-01-26,Axis Bank,PhonePe,3800.24,debit,524888,2025-01-26
Yes Bank: credit of ₹8501.92 to Swiggy. Ref No 433109 on 2025-01-22,Yes Bank,Swiggy,8501.92,credit,433109,2025-01-22
UPI Transaction: 3856.74 debit from SBI to Zomato. Ref 130099,SBI,Zomato,3856.74,debit,130099,2025-01-17
HDFC Bank: A/C debit ₹3770.83 via UPI to PhonePe. Reference 486417,HDFC Bank,PhonePe,3770.83,debit,486417,2025-01-01
Axis Bank: credit of ₹8773.70 to Flipkart. Ref No 264161 on 2025-02-02,Axis Bank,Flipkart,8773.7,credit,264161,2025-02-02
ICICI Bank Bank: Credit of ₹7693.40. Transaction with PhonePe. Ref: 179263,ICICI Bank,PhonePe,7693.4,credit,179263,2025-01-18
HDFC Bank: A/C debit ₹808.80 via UPI to Ola. Reference 432314,HDFC Bank,Ola,808.8,debit,432314,2025-01-09
Axis Bank Bank: Credit of ₹3979.88. Transaction with Amazon. Ref: 410067,Axis Bank,Amazon,3979.88,credit,410067,2025-01-15
Punjab National Bank: A/C credit ₹237.99 via UPI to Uber. Reference 569912,Punjab National Bank,Uber,237.99,credit,569912,2025-01-24
ICICI Bank Bank: Credit of ₹3903.88. Transaction with Google Play Store. Ref: 371468,ICICI Bank,Google Play Store,3903.88,credit,371468,2025-02-01
UPi Transaction: 1638.96 credit from Punjab National Bank to Uber. Ref 407336,Punjab National Bank,Uber,1638.96,credit,407336,2025-02-02
Yes Bank: A/C debit ₹4291.01 via UPI to PhonePe. Reference 133101,Yes Bank,PhonePe,4291.01,debit,133101,2025-01-14
UPI Transaction: 4631.68 debit from HDFC Bank to Amazon. Ref 512923,HDFC Bank,Amazon,4631.68,debit,512923,2025-01-12
Family Bank: Credit of ₹2453.37. Transaction with Zomato. Ref: 996599,Family,Zomato,2453.37,credit,996599,2025-01-09
Personal: A/C debit ₹1874.18 via UPI to Google Play Store. Reference 504017,Personal,Google Play Store,1874.18,debit,504017,2025-01-28
Personal Bank: Debit of ₹1666.70. Transaction with Ola. Ref: 554044,Personal,Ola,1666.7,debit,554044,2025-01-15
HDFC Bank Bank: Credit of ₹9991.45. Transaction with Netflix. Ref: 547886,HDFC Bank,Netflix,9991.45,credit,547886,2025-01-02
UPI Transaction: 3331.95 credit from Kotak Mahindra Bank to Flipkart. Ref 184057,Kotak Mahindra Bank,Flipkart,3331.95,credit,184057,2025-01-04
UPI Transaction: 1869.08 debit from Yes Bank to Amazon. Ref 858363,Yes Bank,Amazon,1869.08,debit,858363,2025-01-06
Family: A/C debit ₹3191.68 via UPI to Ola. Reference 238393,Family,Ola,3191.68,debit,238393,2025-01-14
Family: A/C debit ₹4543.65 via UPi to Netflix. Reference 993600,Family,Netflix,4543.65,debit,993600,2025-01-19
UPI Transaction: 2909.40 credit from ICICI Bank to Uber. Ref 763205,ICICI Bank,Uber,2909.4,credit,763205,2025-01-29
UPI Transaction: 5350.34 credit from ICICI Bank to Uber. Ref 147121,ICICI Bank,Uber,5350.34,credit,147121,2025-01-20
Personal: credit of ₹6220.02 to Netflix. Ref No 127671 on 2025-02-02,Personal,Netflix,6220.02,credit,127671,2025-02-02
Yes Bank: A/C credit ₹4174.73 via UPI to Netflix. Reference 524721,Yes Bank,Netflix,4174.73,credit,524721,2025-01-17
UPI Transaction: 971.46 debit from Yes Bank to Amazon. Ref 854401,Yes Bank,Amazon,971.46,debit,854401,2025-01-24
Friend: credit of ₹8784.87 to Myntra. Ref No 759274 on 2025-01-01,Friend,Myntra,8784.87,credit,759274,2025-01-01
UPI Transaction: 1939.57 credit from Punjab National Bank to Zomato. Ref 235839,Punjab National Bank,Zomato,1939.57,credit,235839,2025-01-24
UPI Transaction: 201.67 debit from SBI to Netflix. Ref 106317,SBI,Netflix,201.67,debit,106317,2025-01-11
Family: credit of ₹8414.64 to Zomato. Ref No 172127 on 2025-01-19,Family,Zomato,8414.64,credit,172127,2025-01-19
Kotak Mahindra Bank Bank: Debit of ₹1220.67. Transaction with Flipkart. Ref: 226001,Kotak Mahindra Bank,Flipkart,1220.67,debit,226001,2025-01-29
Kotak Mahindra Bank Bank: Credit of ₹3885.71. Transaction with Myntra. Ref: 146957,Kotak Mahindra Bank,Myntra,3885.71,credit,146957,2025-01-15
Punjab National Bank: debit of ₹2021.82 to Uber. Ref No 155215 on 2025-01-16,Punjab National Bank,Uber,2021.82,debit,155215,2025-01-16
Family: credit of ₹2673.71 to Myntra. Ref No 533661 on 2025-01-24,Family,Myntra,2673.71,credit,533661,2025-01-24
Kotak Mahindra Bank: credit of ₹8547.35 to Uber. Ref No 377100 on 2025-01-01,Kotak Mahindra Bank,Uber,8547.35,credit,377100,2025-01-01
Axis Bank: A/C debit ₹974.12 via UPI to Amazon. Reference 492073,Axis Bank,Amazon,974.12,debit,492073,2025-01-07
SBI: credit of ₹7067.23 to Ola. Ref No 119068 on 2025-01-20,SBI,Ola,7067.23,credit,119068,2025-01-20
ICICI Bank: A/C debit ₹1680.88 via UPI to Myntra. Reference 203801,ICICI Bank,Myntra,1680.88,debit,203801,2025-01-03
SBI Bank: Credit of ₹653.21. Transaction with Myntra. Ref: 197169,SBI,Myntra,653.21,credit,197169,2025-01-22
Yes Bank: debit of ₹3389.66 to Paytm. Ref No 822782 on 2025-01-08,Yes Bank,Paytm,3389.66,debit,822782,2025-01-08
UPI Transaction: 1125.16 debit from Friend to Paytm. Ref 353883,Friend,Paytm,1125.16,debit,353883,2025-01-29
UPI Transaction: 3932.47 debit from Kotak Mahindra Bank to BigBasket. Ref 161528,Kotak Mahindra Bank,BigBasket,3932.47,debit,161528,2025-01-23
HDFC Bank Bank: Credit of ₹6324.80. Transaction with Swiggy. Ref: 449946,HDFC Bank,Swiggy,6324.8,credit,449946,2025-01-22
Yes Bank: A/C debit ₹4285.97 via UPi to Paytm. Reference 600962,Yes Bank,Paytm,4285.97,debit,600962,2025-01-31
UPI Transaction: 3935.51 debit from Yes Bank to Amazon. Ref 331779,Yes Bank,Amazon,3935.51,debit,331779,2025-01-31
UPi Transaction: 6490.70 credit from ICICI Bank to Flipkart. Ref 351664,ICICI Bank,Flipkart,6490.7,credit,351664,2025-01-07
Friend: A/C debit ₹1168.77 via UPI to Swiggy. Reference 624936,Friend,Swiggy,1168.77,debit,624936,2025-01-22
UPI Transaction: 2800.28 debit from Family to Google Play Store. Ref 942833,Family,Google Play Store,2800.28,debit,942833,2025-01-11
Friend: credit of ₹3762.99 to Myntra. Ref No 804476 on 2025-01-14,Friend,Myntra,3762.99,credit,804476,2025-01-14
Family: A/C debit ₹2218.16 via UPI to Uber. Reference 668168,Family,Uber,2218.16,debit,668168,2025-01-25
Personal: A/C credit ₹659.62 via UPi to Myntra. Reference 465833,Personal,Myntra,659.62,credit,465833,2025-02-01
Axis Bank: A/C debit ₹2064.23 via UPi to Amazon. Reference 470435,Axis Bank,Amazon,2064.23,debit,470435,2025-01-24
ICICI Bank Bank: Credit of ₹9498.21. Transaction with Zomato. Ref: 514846,ICICI Bank,Zomato,9498.21,credit,514846,2025-01-25
Axis Bank: A/C credit ₹4937.44 via UPI to Netflix. Reference 277329,Axis Bank,Netflix,4937.44,credit,277329,2025-01-12
Personal Bank: Debit of ₹811.88. Transaction with Google Play Store. Ref: 851341,Personal,Google Play Store,811.88,debit,851341,2025-01-25
SBI: A/C debit ₹3992.89 via UPi to Amazon. Reference 983148,SBI,Amazon,3992.89,debit,983148,2025-01-22
Axis Bank: A/C credit ₹667.03 via UPi to Netflix. Reference 487332,Axis Bank,Netflix,667.03,credit,487332,2025-02-01
ICICI Bank: credit of ₹5346.72 to Netflix. Ref No 886454 on 2025-01-30,ICICI Bank,Netflix,5346.72,credit,886454,2025-01-30
Axis Bank: debit of ₹4279.68 to Amazon. Ref No 666941 on 2025-01-14,Axis Bank,Amazon,4279.68,debit,666941,2025-01-14
HDFC Bank Bank: Debit of ₹875.29. Transaction with Flipkart. Ref: 486558,HDFC Bank,Flipkart,875.29,debit,486558,2025-01-25
Family Bank: Debit of ₹4721.73. Transaction with Google Play Store. Ref: 980832,Family,Google Play Store,4721.73,debit,980832,2025-01-02
UPI Transaction: 7622.87 credit from Personal to Uber. Ref 410975,Personal,Uber,7622.87,credit,410975,2025-01-19
Family Bank: Debit of ₹2082.54. Transaction with Ola. Ref: 975706,Family,Ola,2082.54,debit,975706,2025-02-02
Yes Bank: credit of ₹8972.90 to Myntra. Ref No 876133 on 2025-02-01,Yes Bank,Myntra,8972.9,credit,876133,2025-02-01
Family: debit of ₹3964.47 to Paytm. Ref No 994879 on 2025-02-02,Family,Paytm,3964.47,debit,994879,2025-02-02
ICICI Bank Bank: Credit of ₹1939.80. Transaction with BigBasket. Ref: 748537,ICICI Bank,BigBasket,1939.8,credit,748537,2025-01-08
Friend: credit of ₹1098.84 to Netflix. Ref No 297277 on 2025-01-13,Friend,Netflix,1098.84,credit,297277,2025-01-13
Axis Bank Bank: Debit of ₹179.15. Transaction with BigBasket. Ref: 849055,Axis Bank,BigBasket,179.15,debit,849055,2025-01-11
Axis Bank: credit of ₹7937.24 to PhonePe. Ref No 544260 on 2025-01-31,Axis Bank,PhonePe,7937.24,credit,544260,2025-01-31
Friend Bank: Credit of ₹8223.61. Transaction with Google Play Store. Ref: 135130,Friend,Google Play Store,8223.61,credit,135130,2025-01-11
SBI: A/C credit ₹2236.43 via UPi to BookMyShow. Reference 681907,SBI,BookMyShow,2236.43,credit,681907,2025-01-24
Kotak Mahindra Bank: A/C debit ₹3163.84 via UPI to Myntra. Reference 329463,Kotak Mahindra Bank,Myntra,3163.84,debit,329463,2025-01-27
Axis Bank Bank: Debit of ₹1316.91. Transaction with Ola. Ref: 425630,Axis Bank,Ola,1316.91,debit,425630,2025-01-24
ICICI Bank: credit of ₹362.09 to Uber. Ref No 718029 on 2025-01-25,ICICI Bank,Uber,362.09,credit,718029,2025-01-25
Punjab National Bank Bank: Credit of ₹9727.77. Transaction with Netflix. Ref: 809984,Punjab National Bank,Netflix,9727.77,credit,809984,2025-01-22
Friend Bank: Debit of ₹4224.54. Transaction with Uber. Ref: 894484,Friend,Uber,4224.54,debit,894484,2025-01-16
UPI Transaction: 4699.83 debit from Personal to PhonePe. Ref 449632,Personal,PhonePe,4699.83,debit,449632,2025-01-16
SBI: A/C debit ₹583.73 via UPi to Netflix. Reference 995507,SBI,Netflix,583.73,debit,995507,2025-01-19
Family: credit of ₹4072.01 to Netflix. Ref No 975698 on 2025-01-28,Family,Netflix,4072.01,credit,975698,2025-01-28
Punjab National Bank: debit of ₹1916.62 to BookMyShow. Ref No 677630 on 2025-01-30,Punjab National Bank,BookMyShow,1916.62,debit,677630,2025-01-30
Yes Bank Bank: Credit of ₹6252.82. Transaction with Swiggy. Ref: 614458,Yes Bank,Swiggy,6252.82,credit,614458,2025-01-02
UPI Transaction: 1658.51 debit from Yes Bank to Google Play Store. Ref 595866,Yes Bank,Google Play Store,1658.51,debit,595866,2025-01-26
Personal Bank: Debit of ₹1173.92. Transaction with Uber. Ref: 376316,Personal,Uber,1173.92,debit,376316,2025-02-02
Friend: credit of ₹4887.73 to Amazon. Ref No 371272 on 2025-01-15,Friend,Amazon,4887.73,credit,371272,2025-01-15
SBI: A/C debit ₹2903.07 via UPI to PhonePe. Reference 634882,SBI,PhonePe,2903.07,debit,634882,2025-01-23
SBI Bank: Credit of ₹1593.06. Transaction with Paytm. Ref: 991098,SBI,Paytm,1593.06,credit,991098,2025-01-18
Personal: debit of ₹3301.15 to Uber. Ref No 220076 on 2025-01-10,Personal,Uber,3301.15,debit,220076,2025-01-10
Personal: credit of ₹9652.56 to Myntra. Ref No 491764 on 2025-01-09,Personal,Myntra,9652.56,credit,491764,2025-01-09
UPI Transaction: 1463.92 credit from Axis Bank to Myntra. Ref 186506,Axis Bank,Myntra,1463.92,credit,186506,2025-01-08
Axis Bank Bank: Debit of ₹4965.31. Transaction with Netflix. Ref: 951865,Axis Bank,Netflix,4965.31,debit,951865,2025-01-14
UPI Transaction: 2173.19 debit from Family to Paytm. Ref 597756,Family,Paytm,2173.19,debit,597756,2025-01-08
Punjab National Bank: A/C debit ₹291.54 via UPI to Paytm. Reference 741962,Punjab National Bank,Paytm,291.54,debit,741962,2025-01-14
Personal Bank: Credit of ₹3706.23. Transaction with Paytm. Ref: 580664,Personal,Paytm,3706.23,credit,580664,2025-01-29
Kotak Mahindra Bank: debit of ₹2353.31 to Zomato. Ref No 433204 on 2025-01-08,Kotak Mahindra Bank,Zomato,2353.31,debit,433204,2025-01-08
Personal Bank: Credit of ₹2286.04. Transaction with Zomato. Ref: 232515,Personal,Zomato,2286.04,credit,232515,2025-01-08
UPI Transaction: 3871.13 credit from Family to Uber. Ref 747385,Family,Uber,3871.13,credit,747385,2025-01-09
Family: debit of ₹1559.06 to Paytm. Ref No 616227 on 2025-01-10,Family,Paytm,1559.06,debit,616227,2025-01-10
HDFC Bank Bank: Credit of ₹4937.21. Transaction with BookMyShow. Ref: 290975,HDFC Bank,BookMyShow,4937.21,credit,290975,2025-02-02
Punjab National Bank Bank: Credit of ₹4750.09. Transaction with Zomato. Ref: 749476,Punjab National Bank,Zomato,4750.09,credit,749476,2025-01-15
UPI Transaction: 6102.56 credit from Personal to Myntra. Ref 339321,Personal,Myntra,6102.56,credit,339321,2025-01-22
Axis Bank: credit of ₹8473.26 to BigBasket. Ref No 806894 on 2025-01-12,Axis Bank,BigBasket,8473.26,credit,806894,2025-01-12
Punjab National Bank Bank: Credit of ₹552.05. Transaction with Flipkart. Ref: 779153,Punjab National Bank,Flipkart,552.05,credit,779153,2025-02-01
Personal: credit of ₹8345.59 to Ola. Ref No 611293 on 2025-01-26,Personal,Ola,8345.59,credit,611293,2025-01-26
Yes Bank Bank: Credit of ₹5980.76. Transaction with Uber. Ref: 361066,Yes Bank,Uber,5980.76,credit,361066,2025-01-20
ICICI Bank: debit of ₹4403.34 to Google Play Store. Ref No 569920 on 2025-01-31,ICICI Bank,Google Play Store,4403.34,debit,569920,2025-01-31
SBI: credit of ₹1314.58 to PhonePe. Ref No 469229 on 2025-01-01,SBI,PhonePe,1314.58,credit,469229,2025-01-01
Kotak Mahindra Bank Bank: Debit of ₹2624.32. Transaction with PhonePe. Ref: 925707,Kotak Mahindra Bank,PhonePe,2624.32,debit,925707,2025-01-14
HDFC Bank Bank: Credit of ₹6313.73. Transaction with BookMyShow. Ref: 983104,HDFC Bank,BookMyShow,6313.73,credit,983104,2025-01-13
Personal: debit of ₹2751.68 to BookMyShow. Ref No 202277 on 2025-01-27,Personal,BookMyShow,2751.68,debit,202277,2025-01-27
UPI Transaction: 275.87 debit from Yes Bank to Zomato. Ref 996342,Yes Bank,Zomato,275.87,debit,996342,2025-02-01
Friend: A/C credit ₹2587.81 via UPI to Google Play Store. Reference 608096,Friend,Google Play Store,2587.81,credit,608096,2025-01-15
Punjab National Bank: credit of ₹8512.50 to Netflix. Ref No 349907 on 2025-01-20,Punjab National Bank,Netflix,8512.5,credit,349907,2025-01-20
Personal: A/C debit ₹4298.40 via UPI to Google Play Store. Reference 738564,Personal,Google Play Store,4298.4,debit,738564,2025-01-30
Friend: A/C debit ₹2251.23 via UPI to BigBasket. Reference 414709,Friend,BigBasket,2251.23,debit,414709,2025-01-06
Yes Bank Bank: Debit of ₹2452.21. Transaction with Uber. Ref: 287750,Yes Bank,Uber,2452.21,debit,287750,2025-01-06
Friend: debit of ₹1714.67 to BigBasket. Ref No 306555 on 2025-01-17,Friend,BigBasket,1714.67,debit,306555,2025-01-17
Yes Bank Bank: Credit of ₹733.91. Transaction with Google Play Store. Ref: 453239,Yes Bank,Google Play Store,733.91,credit,453239,2025-01-13
SBI Bank: Debit of ₹4916.01. Transaction with Netflix. Ref: 707664,SBI,Netflix,4916.01,debit,707664,2025-01-10
Friend: A/C debit ₹4141.50 via UPI to Google Play Store. Reference 399679,Friend,Google Play Store,4141.5,debit,399679,2025-01-18
ICICI Bank: A/C debit ₹3984.12 via UPI to Amazon. Reference 500599,ICICI Bank,Amazon,3984.12,debit,500599,2025-01-05
Personal: credit of ₹8242.55 to Myntra. Ref No 769843 on 2025-01-13,Personal,Myntra,8242.55,credit,769843,2025-01-13
UPI Transaction: 4505.03 credit from Punjab National Bank to Netflix. Ref 221171,Punjab National Bank,Netflix,4505.03,credit,221171,2025-01-08
Family: debit of ₹2241.48 to Swiggy. Ref No 956366 on 2025-01-26,Family,Swiggy,2241.48,debit,956366,2025-01-26
Yes Bank: A/C credit ₹9282.16 via UPI to Netflix. Reference 679358,Yes Bank,Netflix,9282.16,credit,679358,2025-01-30
UPI Transaction: 1250.69 debit from SBI to Flipkart. Ref 321671,SBI,Flipkart,1250.69,debit,321671,2025-01-09
Axis Bank: credit of ₹9629.02 to Swiggy. Ref No 298939 on 2025-01-11,Axis Bank,Swiggy,9629.02,credit,298939,2025-01-11
SBI: A/C credit ₹1646.08 via UPI to PhonePe. Reference 281305,SBI,PhonePe,1646.08,credit,281305,2025-01-13
Kotak Mahindra Bank: credit of ₹1207.99 to Google Play Store. Ref No 560223 on 2025-01-29,Kotak Mahindra Bank,Google Play Store,1207.99,credit,560223,2025-01-29
Personal: debit of ₹4341.10 to Flipkart. Ref No 213598 on 2025-01-27,Personal,Flipkart,4341.1,debit,213598,2025-01-27
UPI Transaction: 1601.11 debit from Yes Bank to Swiggy. Ref 536128,Yes Bank,Swiggy,1601.11,debit,536128,2025-01-12
Family: debit of ₹2742.35 to PhonePe. Ref No 264696 on 2025-01-23,Family,PhonePe,2742.35,debit,264696,2025-01-23
Punjab National Bank: credit of ₹4695.95 to BookMyShow. Ref No 960118 on 2025-01-22,Punjab National Bank,BookMyShow,4695.95,credit,960118,2025-01-22
Punjab National Bank Bank: Credit of ₹8580.99. Transaction with Netflix. Ref: 990786,Punjab National Bank,Netflix,8580.99,credit,990786,2025-01-31
Friend: credit of ₹237.42 to Google Play Store. Ref No 805908 on 2025-01-31,Friend,Google Play Store,237.42,credit,805908,2025-01-31
Yes Bank: debit of ₹3186.19 to PhonePe. Ref No 132701 on 2025-01-17,Yes Bank,PhonePe,3186.19,debit,132701,2025-01-17
Yes Bank Bank: Credit of ₹2925.78. Transaction with Google Play Store. Ref: 273789,Yes Bank,Google Play Store,2925.78,credit,273789,2025-01-26
UPI Transaction: 282.55 debit from SBI to Flipkart. Ref 452860,SBI,Flipkart,282.55,debit,452860,2025-01-10
Punjab National Bank Bank: Debit of ₹1112.06. Transaction with BigBasket. Ref: 337362,Punjab National Bank,BigBasket,1112.06,debit,337362,2025-01-04
UPI Transaction: 1264.82 debit from Friend to BigBasket. Ref 215060,Friend,BigBasket,1264.82,debit,215060,2025-01-05
Yes Bank: credit of ₹6377.17 to BookMyShow. Ref No 600377 on 2025-01-27,Yes Bank,BookMyShow,6377.17,credit,600377,2025-01-27
Punjab National Bank: debit of ₹4933.35 to Google Play Store. Ref No 778804 on 2025-01-29,Punjab National Bank,Google Play Store,4933.35,debit,778804,2025-01-29
ICICI Bank: debit of ₹1036.41 to BookMyShow. Ref No 311086 on 2025-01-10,ICICI Bank,BookMyShow,1036.41,debit,311086,2025-01-10
Family: debit of ₹1905.25 to Swiggy. Ref No 879036 on 2025-01-14,Family,Swiggy,1905.25,debit,879036,2025-01-14
UPI Transaction: 285.30 debit from Family to Paytm. Ref 332593,Family,Paytm,285.3,debit,332593,2025-01-14
Punjab National Bank Bank: Credit of ₹2495.37. Transaction with BookMyShow. Ref: 197347,Punjab National Bank,BookMyShow,2495.37,credit,197347,2025-02-01
Yes Bank: credit of ₹5392.76 to Myntra. Ref No 529279 on 2025-01-14,Yes Bank,Myntra,5392.76,credit,529279,2025-01-14
HDFC Bank: A/C credit ₹7665.45 via UPi to Paytm. Reference 132978,HDFC Bank,Paytm,7665.45,credit,132978,2025-01-01
Personal: A/C debit ₹1688.99 via UPI to Flipkart. Reference 567554,Personal,Flipkart,1688.99,debit,567554,2025-01-20
Kotak Mahindra Bank Bank: Credit of ₹7127.49. Transaction with BigBasket. Ref: 595298,Kotak Mahindra Bank,BigBasket,7127.49,credit,595298,2025-01-27
Kotak Mahindra Bank Bank: Credit of ₹5412.84. Transaction with Flipkart. Ref: 572798,Kotak Mahindra Bank,Flipkart,5412.84,credit,572798,2025-01-11
